seasonType,eventId,teamId,homeAway,winner,formation,active,starter,jersey,athleteId,athleteDisplayName,position,formationPlace,subbedIn,subbedInForAthleteId,subbedInForAthleteJersey,subInAthleteId,subInClockValue,subInDisplayClock,subbedOut,subbedOutForAthleteId,subbedOutForAthleteJersey,subOutAthleteId,subOutClockValue,subOutDisplayClock,updateTime
13701,759215,9980,home,1,4-3-3,1,1,1,207490,Daniel Hoban,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759215,9980,home,1,4-3-3,1,1,6,370301,Ramsay Davidson,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759215,9980,home,1,4-3-3,1,1,3,410012,Zach Stephen,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759215,9980,home,1,4-3-3,1,1,5,277676,Nathan Cooney,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759215,9980,home,1,4-3-3,1,1,2,228897,Joe McCabe,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759215,9980,home,1,4-3-3,1,1,4,43705,Mark Reynolds,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759215,9980,home,1,4-3-3,1,1,8,228754,Kain Winton,Right Midfielder,7,0,0,-1,,,,1,212708,17,212708.0,4260.0,71',2025-10-26 05:20:30
13701,759215,9980,home,1,4-3-3,1,1,7,231512,Sam Pugh,Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759215,9980,home,1,4-3-3,1,1,9,321351,Liam Duell,Forward,9,0,0,-1,,,,1,249182,14,249182.0,4020.0,67',2025-10-26 05:20:30
13701,759215,9980,home,1,4-3-3,1,1,10,329385,Magnus Watson,Right Forward,10,0,0,-1,,,,1,381069,16,381069.0,4740.0,79',2025-10-26 05:20:30
13701,759215,9980,home,1,4-3-3,1,1,11,139820,Mark Gilmour,Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759215,9980,home,1,4-3-3,1,0,18,260790,Jevan Anderson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759215,9980,home,1,4-3-3,1,0,14,249182,Lachie Macleod,Substitute,0,1,321351,9,321351.0,4020.0,67',0,0,-1,,,,2025-10-26 05:20:30
13701,759215,9980,home,1,4-3-3,1,0,15,370302,Jason Selbie,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759215,9980,home,1,4-3-3,1,0,16,381069,Alex Balfour,Substitute,0,1,329385,10,329385.0,4740.0,79',0,0,-1,,,,2025-10-26 05:20:30
13701,759215,9980,home,1,4-3-3,1,0,12,397161,Matthew Duncan,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759215,9980,home,1,4-3-3,1,0,17,212708,Max Alexander,Substitute,0,1,228754,8,228754.0,4260.0,71',0,0,-1,,,,2025-10-26 05:20:30
13701,759215,7170,away,0,4-4-2,1,1,21,228827,Andy Reid,Goalkeeper,1,0,0,-1,,,,1,167994,1,167994.0,1200.0,20',2025-10-26 05:20:30
13701,759215,7170,away,0,4-4-2,1,1,12,410060,Will Sim,Right Back,2,0,0,-1,,,,1,277591,24,277591.0,2820.0,47',2025-10-26 05:20:30
13701,759215,7170,away,0,4-4-2,1,1,4,228826,Kieran Lawrence,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759215,7170,away,0,4-4-2,1,1,7,228940,Jamie Beagrie,Center Right Midfielder,4,0,0,-1,,,,1,392319,25,392319.0,5040.0,84',2025-10-26 05:20:30
13701,759215,7170,away,0,4-4-2,1,1,3,228881,Bryan Hay,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759215,7170,away,0,4-4-2,1,1,8,127295,William West,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759215,7170,away,0,4-4-2,1,1,19,312058,Callan Gray,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759215,7170,away,0,4-4-2,1,1,6,228945,Paul Young,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759215,7170,away,0,4-4-2,1,1,14,291526,Logan Watt,Center Left Forward,9,0,0,-1,,,,1,276903,17,276903.0,2820.0,47',2025-10-26 05:20:30
13701,759215,7170,away,0,4-4-2,1,1,11,167993,Scott Barbour,Center Right Forward,10,0,0,-1,,,,1,229543,10,229543.0,4560.0,76',2025-10-26 05:20:30
13701,759215,7170,away,0,4-4-2,1,1,16,176462,Gregor Buchanan,Left Midfielder,11,0,0,-1,,,,0,0,-1,,,,2025-10-27 05:16:32
13701,759215,7170,away,0,4-4-2,1,0,24,277591,Lewis Duncan,Substitute,0,1,410060,12,410060.0,2820.0,47',0,0,-1,,,,2025-10-26 05:20:30
13701,759215,7170,away,0,4-4-2,1,0,17,276903,Sean Butcher,Substitute,0,1,291526,14,291526.0,2820.0,47',0,0,-1,,,,2025-10-26 05:20:30
13701,759215,7170,away,0,4-4-2,1,0,20,245410,Joshua Hawkins,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759215,7170,away,0,4-4-2,1,0,10,229543,Liam Strachan,Substitute,0,1,167993,11,167993.0,4560.0,76',0,0,-1,,,,2025-10-26 05:20:30
13701,759215,7170,away,0,4-4-2,1,0,1,167994,Joe Barbour,Substitute,0,1,228827,21,228827.0,1200.0,20',0,0,-1,,,,2025-10-26 05:20:30
13701,759215,7170,away,0,4-4-2,1,0,25,392319,Dylan Robertson,Substitute,0,1,228940,7,228940.0,5040.0,84',0,0,-1,,,,2025-10-26 05:20:30
13701,759215,7170,away,0,4-4-2,1,0,15,113055,Fraser Stewart,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759216,22366,home,0,4-3-3,1,1,1,186033,Sam Ramsbottom,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,22366,home,0,4-3-3,1,1,2,7374,Jonathan Mitchell,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,22366,home,0,4-3-3,1,1,3,394834,Ryan Shanks,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,22366,home,0,4-3-3,1,1,10,394841,Craig Snedden,Center Midfielder,4,0,0,-1,,,,1,329702,14,329702.0,4140.0,69',2025-10-25 05:16:14
13701,759216,22366,home,0,4-3-3,1,1,4,413581,Josh Wishart,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,22366,home,0,4-3-3,1,1,5,329325,David Cross,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,22366,home,0,4-3-3,1,1,8,351843,James Russell,Right Midfielder,7,0,0,-1,,,,1,326252,16,326252.0,5040.0,84',2025-10-25 05:16:14
13701,759216,22366,home,0,4-3-3,1,1,6,346140,Majid Suleyman,Left Midfielder,8,0,0,-1,,,,1,394850,33,394850.0,2700.0,45',2025-10-25 05:16:14
13701,759216,22366,home,0,4-3-3,1,1,9,312048,Michael Weir,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,22366,home,0,4-3-3,1,1,7,413580,Pele Hagger,Right Forward,10,0,0,-1,,,,1,93413,12,93413.0,2700.0,45',2025-10-25 05:16:14
13701,759216,22366,home,0,4-3-3,1,1,11,359222,Godwin Kangni-Soupke,Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,22366,home,0,4-3-3,1,0,15,394840,Blair Woodburn,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,22366,home,0,4-3-3,1,0,13,413582,Jamie Dick,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,22366,home,0,4-3-3,1,0,14,329702,Ben Woloszyn,Substitute,0,1,394841,10,394841.0,4140.0,69',0,0,-1,,,,2025-10-25 05:16:14
13701,759216,22366,home,0,4-3-3,1,0,33,394850,Chris Ogilvie,Substitute,0,1,346140,6,346140.0,2700.0,45',0,0,-1,,,,2025-10-25 05:16:14
13701,759216,22366,home,0,4-3-3,1,0,16,326252,Michael Beagley,Substitute,0,1,351843,8,351843.0,5040.0,84',0,0,-1,,,,2025-10-25 05:16:14
13701,759216,22366,home,0,4-3-3,1,0,17,297694,Ross Nimmo,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,22366,home,0,4-3-3,1,0,12,93413,Callum MacDonald,Substitute,0,1,413580,7,413580.0,2700.0,45',0,0,-1,,,,2025-10-25 05:16:14
13701,759216,8565,away,1,4-3-3,1,1,1,210409,Cameron Binnie,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,8565,away,1,4-3-3,1,1,22,252064,Jamie Watson,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,8565,away,1,4-3-3,1,1,3,240726,Cameron Thompson,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,8565,away,1,4-3-3,1,1,8,253683,Connor Mcmullan,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,8565,away,1,4-3-3,1,1,6,327811,Greg Skinner,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,8565,away,1,4-3-3,1,1,5,370253,Ciaran Greene,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,8565,away,1,4-3-3,1,1,28,378327,Louis Maguire,Right Midfielder,7,0,0,-1,,,,1,303779,24,303779.0,5400.0,90'+1',2025-10-25 05:16:14
13701,759216,8565,away,1,4-3-3,1,1,25,277546,Paul Kennedy,Left Midfielder,8,0,0,-1,,,,1,303677,17,303677.0,3240.0,54',2025-10-25 05:16:14
13701,759216,8565,away,1,4-3-3,1,1,10,97706,Calum Rae,Forward,9,0,0,-1,,,,1,179659,9,179659.0,3660.0,61',2025-10-25 05:16:14
13701,759216,8565,away,1,4-3-3,1,1,19,277682,Oliver Hamilton,Right Forward,10,0,0,-1,,,,1,243631,23,243631.0,5400.0,90'+1',2025-10-25 05:16:14
13701,759216,8565,away,1,4-3-3,1,1,11,347274,Lucas Stenhouse,Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,8565,away,1,4-3-3,1,0,9,179659,Blair Henderson,Substitute,0,1,97706,10,97706.0,3660.0,61',0,0,-1,,,,2025-10-25 05:16:14
13701,759216,8565,away,1,4-3-3,1,0,14,397555,Matthew Falconer,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,8565,away,1,4-3-3,1,0,20,223909,Craig Smith,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,8565,away,1,4-3-3,1,0,23,243631,Joseph Smith,Substitute,0,1,277682,19,277682.0,5400.0,90'+1',0,0,-1,,,,2025-10-25 05:16:14
13701,759216,8565,away,1,4-3-3,1,0,17,303677,James Berry,Substitute,0,1,277546,25,277546.0,3240.0,54',0,0,-1,,,,2025-10-25 05:16:14
13701,759216,8565,away,1,4-3-3,1,0,24,303779,Jamie Allen,Substitute,0,1,378327,28,378327.0,5400.0,90'+1',0,0,-1,,,,2025-10-25 05:16:14
13701,759216,8565,away,1,4-3-3,1,0,4,31098,Gary Thom,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,8565,away,1,4-3-3,1,0,12,329330,Chic Bell,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759216,8565,away,1,4-3-3,1,0,16,352576,Alan Sneddon,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-25 05:16:14
13701,759217,413,home,1,4-3-3,1,1,1,353157,Ruaridh Lynch,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,413,home,1,4-3-3,1,1,21,388278,Wallace Baird,Right Back,2,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,413,home,1,4-3-3,1,1,15,398377,Trialist Trialist 1,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,413,home,1,4-3-3,1,1,8,223409,Paul Watson,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,413,home,1,4-3-3,1,1,2,329312,Kieran Sweeney,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,413,home,1,4-3-3,1,1,3,347002,Bayley Klimionek,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,413,home,1,4-3-3,1,1,10,260041,Fraser Macleod,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,413,home,1,4-3-3,1,1,17,324545,John Moreland,Left Midfielder,8,0,0,-1,,,,1,376256,16,376256.0,4320.0,72',2025-10-26 05:20:30
13701,759217,413,home,1,4-3-3,1,1,11,193442,Ben Armour,Forward,9,0,0,-1,,,,1,279963,18,279963.0,3720.0,62',2025-10-26 05:20:30
13701,759217,413,home,1,4-3-3,1,1,9,366855,Finlay Allan,Right Forward,10,0,0,-1,,,,1,407233,14,407233.0,2700.0,45',2025-10-26 05:20:30
13701,759217,413,home,1,4-3-3,1,1,7,263900,Mitchell Taylor,Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,413,home,1,4-3-3,1,0,23,368323,Rowan Weir,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,413,home,1,4-3-3,1,0,16,376256,Harry Craig,Substitute,0,1,324545,17,324545.0,4320.0,72',0,0,-1,,,,2025-10-26 05:20:30
13701,759217,413,home,1,4-3-3,1,0,18,279963,Grady Mcgrath,Substitute,0,1,193442,11,193442.0,3720.0,62',0,0,-1,,,,2025-10-26 05:20:30
13701,759217,413,home,1,4-3-3,1,0,12,96666,Cillian Sheridan,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,413,home,1,4-3-3,1,0,14,407233,Mitchell Findlay,Substitute,0,1,366855,9,366855.0,2700.0,45',0,0,-1,,,,2025-10-26 05:20:30
13701,759217,20847,away,0,4-3-3,1,1,1,251149,Scott Costello,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,20847,away,0,4-3-3,1,1,2,293662,S. Ellis,Right Back,2,0,0,-1,,,,1,413611,16,413611.0,3900.0,65',2025-10-26 05:20:30
13701,759217,20847,away,0,4-3-3,1,1,3,162836,A. Hendry,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,20847,away,0,4-3-3,1,1,8,179653,Finn Graham,Center Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,20847,away,0,4-3-3,1,1,5,168159,Jordan Wright,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,20847,away,0,4-3-3,1,1,4,239935,Jordan Orru,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,20847,away,0,4-3-3,1,1,7,291511,Tyler Mckenzie,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,20847,away,0,4-3-3,1,1,6,260607,Fionn McLeod Kay,Left Midfielder,8,0,0,-1,,,,1,165270,14,165270.0,2700.0,45',2025-10-26 05:20:30
13701,759217,20847,away,0,4-3-3,1,1,9,137316,Jack Wilson,Forward,9,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,20847,away,0,4-3-3,1,1,10,309601,Lucas Berry,Right Forward,10,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,20847,away,0,4-3-3,1,1,11,168942,Ross Drummond,Left Forward,11,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,20847,away,0,4-3-3,1,0,14,165270,Jake Nicholson,Substitute,0,1,260607,6,260607.0,2700.0,45',0,0,-1,,,,2025-10-26 05:20:30
13701,759217,20847,away,0,4-3-3,1,0,99,360375,Owain Clark,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,20847,away,0,4-3-3,1,0,12,390678,Ewan Simpson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,20847,away,0,4-3-3,1,0,15,413461,R. Heatherill,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,20847,away,0,4-3-3,1,0,18,413608,Hamish Mcintyre,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,20847,away,0,4-3-3,1,0,19,413609,Robbie Dick,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759217,20847,away,0,4-3-3,1,0,16,413611,Lewis Mckenzie,Substitute,0,1,293662,2,293662.0,3900.0,65',0,0,-1,,,,2025-10-26 05:20:30
13701,759218,18846,home,0,4-4-1-1,1,1,1,370242,Bernard White,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,18846,home,0,4-4-1-1,1,1,2,255732,Jack Brown,Right Back,2,0,0,-1,,,,1,163774,10,163774.0,3960.0,66',2025-10-26 05:20:30
13701,759218,18846,home,0,4-4-1-1,1,1,3,370272,Robbie Stewart,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,18846,home,0,4-4-1-1,1,1,14,32081,Ryan Murray,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,18846,home,0,4-4-1-1,1,1,6,144049,Daniel Martins,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,18846,home,0,4-4-1-1,1,1,12,282315,Jack Mcdowall,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,18846,home,0,4-4-1-1,1,1,11,260625,Cameron Breadner,Right Midfielder,7,0,0,-1,,,,1,308894,18,308894.0,4560.0,76',2025-10-26 05:20:30
13701,759218,18846,home,0,4-4-1-1,1,1,5,254318,John Guthrie,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,18846,home,0,4-4-1-1,1,1,9,190426,Ross McNeil,Forward,9,0,0,-1,,,,1,356365,24,356365.0,4560.0,76',2025-10-26 05:20:30
13701,759218,18846,home,0,4-4-1-1,1,1,20,317305,Lennon Walker,Rear Center Forward,10,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,18846,home,0,4-4-1-1,1,1,23,169045,Jamie Walker,Left Midfielder,11,0,0,-1,,,,1,326889,15,326889.0,3960.0,66',2025-10-26 05:20:30
13701,759218,18846,home,0,4-4-1-1,1,0,75,373766,Kyle King,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,18846,home,0,4-4-1-1,1,0,24,356365,Bright Prince,Substitute,0,1,190426,9,190426.0,4560.0,76',0,0,-1,,,,2025-10-26 05:20:30
13701,759218,18846,home,0,4-4-1-1,1,0,15,326889,Aidan Clocherty,Substitute,0,1,169045,23,169045.0,3960.0,66',0,0,-1,,,,2025-10-26 05:20:30
13701,759218,18846,home,0,4-4-1-1,1,0,18,308894,Dom Mcmahon,Substitute,0,1,260625,11,260625.0,4560.0,76',0,0,-1,,,,2025-10-26 05:20:30
13701,759218,18846,home,0,4-4-1-1,1,0,21,308688,Callum Biggar,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,18846,home,0,4-4-1-1,1,0,16,413603,Riley Daniel,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,18846,home,0,4-4-1-1,1,0,10,163774,Connor McLaren,Substitute,0,1,255732,2,255732.0,3960.0,66',0,0,-1,,,,2025-10-26 05:20:30
13701,759218,18846,home,0,4-4-1-1,1,0,8,42211,Marc Kelly,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,18846,home,0,4-4-1-1,1,0,22,370263,Martin Mcarthur,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,417,away,1,4-4-2,1,1,1,137450,Derek Gaston,Goalkeeper,1,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,417,away,1,4-4-2,1,1,23,388260,Billy Hutchingson,Right Back,2,0,0,-1,,,,1,281964,7,281964.0,6120.0,102',2025-10-26 05:20:30
13701,759218,417,away,1,4-4-2,1,1,30,223317,Callum Crane,Left Back,3,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,417,away,1,4-4-2,1,1,8,324910,Mackenzie Carse,Center Right Midfielder,4,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,417,away,1,4-4-2,1,1,2,32332,Ross McGeachie,Center Right Defender,5,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,417,away,1,4-4-2,1,1,6,259586,Kyle Banner,Center Left Defender,6,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,417,away,1,4-4-2,1,1,22,179739,Jack Harkness,Right Midfielder,7,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,417,away,1,4-4-2,1,1,5,190255,Robbie McNab,Center Left Midfielder,8,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,417,away,1,4-4-2,1,1,9,368046,Christopher Eadie,Center Left Forward,9,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,417,away,1,4-4-2,1,1,17,240703,Russell Mclean,Center Right Forward,10,0,0,-1,,,,1,57725,11,57725.0,4800.0,80',2025-10-26 05:20:30
13701,759218,417,away,1,4-4-2,1,1,15,409059,Lewis Hodgkiss,Left Midfielder,11,0,0,-1,,,,1,141875,25,141875.0,5400.0,90'+1',2025-10-26 05:20:30
13701,759218,417,away,1,4-4-2,1,1,15,409059,Lewis Hodgkiss,Left Midfielder,11,0,0,-1,,,,1,141875,25,141875.0,3420.0,57',2025-10-26 05:20:30
13701,759218,417,away,1,4-4-2,1,0,34,411865,Arran Kerr,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,417,away,1,4-4-2,1,0,11,57725,Adam Brown,Substitute,0,1,240703,17,240703.0,4800.0,80',0,0,-1,,,,2025-10-26 05:20:30
13701,759218,417,away,1,4-4-2,1,0,32,7452,Connor Campbell,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,417,away,1,4-4-2,1,0,25,141875,Dale Hilson,Substitute,0,1,409059,15,409059.0,3420.0,57',1,366872,21,366872.0,5400.0,90'+1',2025-10-26 05:20:30
13701,759218,417,away,1,4-4-2,1,0,12,347282,Cooper Knox,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
13701,759218,417,away,1,4-4-2,1,0,21,366872,Sam Featherstone,Substitute,0,1,141875,25,141875.0,3420.0,57',0,0,-1,,,,2025-10-26 05:20:30
13701,759218,417,away,1,4-4-2,1,0,21,366872,Sam Featherstone,Substitute,0,1,141875,25,141875.0,5400.0,90'+1',0,0,-1,,,,2025-10-26 05:20:30
13701,759218,417,away,1,4-4-2,1,0,24,382810,Kane Thomson,Substitute,0,0,0,-1,,,,0,0,-1,,,,2025-10-26 05:20:30
